Event_ID,Line,Station,TS,Part_No,Torque,Temp,Defect,VIN,Supplier,Work_Order,Tool_ID,Inspection_Source,Scrap_Reason,Energy_kWh,Pressure,Warranty_Claim,Plan_Production
EVT-00001,GA-2,STN-01,2025-08-14 17:15,101-JKL,20.7 Nm,96.4C,na,TB7Y6UXU89CUGK8RD,SUP-02,WO-2025132,T-101, vision ,,3.09 kWh,50.7 PSI,No,113
EVT-00002,GA-3,STN-05,15/09/2025 07:42:48,101 JKL,53.7,90.0 C,OK,2ZFT0F73344NLY4FS,SUP-05,WO-2025116,T-105,sensor,S4,5.01 kWh,35.7 PSI,No,119
EVT-00003,GA-3  ,STN-02  ,19-12-2025 14:18:10,123-abc,43.1,191.3F,None,84305FE1F56V2UL03,SUP-05,wo-2025162,T-102, SENSOR ,S2,2.63,40.1 PSI,no,110
EVT-00004,GA-2  ,  STN-03,07/02/2025 13:50:02,303PQR,44.4,95.4C,None,BUjR  Kb4PRDBRfMM 6G,Sup-05,WO-2025174,T-103,manual,S3,2.83,51.4,No,114
EVT-00005,GA-1  , STN-09 ,16/04/2025 15:99:32,123-ABC,62.4,180.3F,None,bDX57FKRt1DY mE5RP,Sup-11,WO 2025029,T-109,probe,S3,2.19,47.6,No,119
EVT-00006,  GA-1,STN-01,02-02-2025 14:53:53,789-GHI,62.6 Nm,177.8F,None,XK B08A16Z6MHGA80P,sup-01,WO-2025173,T-101,Manual,,2.85 kWh,37.3,no,118
EVT-00007, GA-3 , STN-09 ,12-11-2025 15:20:20,456DEF,48.5,84.9C, OK,6XM2YTR5JDXA787VA,SUP-09,WO-2025095,T-109, SENSOR ,S3,2.13,47.4,No,112
EVT-00008,GA-1,STN-02  ,2025-03-10 13:47:58,456 DEF,54.8 Nm,85.4C, None,S58LZ8511LNKKVP 4K,Sup-05,WO-2025046,T-102,probe,S1,3.53 kWh,45.2 PSI,No,119
EVT-00009,GA-3,STN-09,11/07/2025 05:59:27,202-MNO,55.4,232.3F,OK,AE9CVW2FHCV5MP7GD,Sup-02,WO-2025240,T-109,probe,,2.02 kWh,48.2,No,118
EVT-00010, GA-3 ,STN-02  ,12-08-2025 05:56:23,101 JKL,38.0,94.3 C,None,57  W67GTEXM TS5F866,SUP-11, WO-2025256 ,T-102,CAMERA,S2,2.66,40.6,No,113
EVT-00011,GA-3  ,STN-07,16/11/2025 15:83:16,303 PQR,39.0 Nm,84.2 C,OK,533ATBB   T7DKH5BBKW,SUP-09,WO-2025140,T-107, SENSOR ,S3,2.43 kWh,43.7 PSI,No,115
EVT-00012, GA-3 , STN-07 ,2025-10-04 16:53,123-abc,54.1,95.6 C,None,RSB5SB WNRZ2AJKPRK,Sup-09,WO-2025047,T-107,operator,S2,3.22,35.6 PSI,No,113
EVT-00013,  GA-2,STN-05,11-02-2025 10:17:51,303-pqr,42.0,83.2C,None,6X62JY3L1BN 00jWUH,SUP-05,WO 2025155,T-105,Manual,S4,4.72 kWh,46.5,No,112
EVT-00014,GA-2,STN-05,2025-10-21 10:23,202-MNO,53.9,193.3F,Reject,8EEFDZ51WCAJG101D,SUP-01,WO-2025255,T-105,operator,s2,4.73 kWh,36.9 PSI,No,108
EVT-00015,GA-2,STN-01,11-10-2025 20:34:53,202-MNO,27.1,195.1F, Reject,FBNGZ6XMCX1EG0WTC,sup-02,WO-2025023,T-101,Sensor,S1,2.06,32.4,Yes,107
EVT-00016,GA-3  ,STN-03,2025/11/16 15:06:41,303-PQR,38.2,208.6F,None,533ATBBT7DKH5 BBKW,SUP-09,WO 2025140,T-103,probe,S4,4.27 kWh,47.8 PSI,No,114
EVT-00017, GA-1 , STN-09 ,2025-03-24 07:52:54,202-MNO,52.6,96.2 C,None,2NEYFHMZ CN5N2URDJ,SUP-05,WO-2025065,T-109,CAMERA,S1,1.88 kWh,44.8 PSI,No,122
EVT-00018, GA-2 ,  STN-05,17-11-2025 04:23:26,123-abc,49.5,199.2F,Repair,P UH V53AY U0B8WHPYA,sup-09, WO-ERR-0010 ,TL-1,Manual,S3,4.38,38.4,No,110
EVT-00019,GA-3  , STN-03 ,05-12-2025 11:12:47,789-GHI,54.1,93.6 C,Reject,Yk9G33uN 6S ACUU5mz,SUP-01,WO-2025229,T-103,Sensor,S1,2.86 kWh,68.3 psi,No,113
EVT-00020, GA-1 ,  STN-01,2025-08-17 06:39:37,456-DEF,38.8,91.5 C,None,NZ3J6X91DXTN4VHZY,sup-11,WO-2025224,T-101,sensor,S2,3.13 kWh,42.3 PSI,No,123
EVT-00021, GA-1 ,STN-03,2025-12-09 09:59:04,303-PQR,56.1 Nm,88.8 C,None,99E 77LV 8DL6026 PPr,sup-09,WO-2025020,T-103,CAMERA,,3.93,53.1 psi,No,119
EVT-00022,GA-3  , STN-01 ,08-02-2025 20:49:56,456DEF,44.8,99.4 C,OK,K5UMB1RG88Y WL1 HKP,sup-09, WO-ERR-0013 ,TL-1, SENSOR ,S2,2.59,37.8 psi,No,115
EVT-00023, GA-3 , STN-05 ,2025-10-12 07:39:51,456-DEF,58.5,86.0C,Repair,T2V S0FB8Y7J MTE3V7,Sup-05,WO-2025108,T-105,CAMERA,S2,5.61,36.5,No,111
EVT-00024,  GA-1,  STN-05,19/07/2025 12:33:51,456DEF,54.5,68.1C,None,8YLWKX KNR P VMV5ZGP,sup-02, WO-2025273 ,T105, vision ,S4,4.0 kWh,33.4 PSI,No,118
EVT-00025,GA-2,STN-02,2025-08-03 08:58:15,789-GHI,62.7,94.9 C,Reject,B8457BFZX373WJVAC,SUP-05,WO-2025115,T-102,sensor,S4,3.6,41.9,Y,109
EVT-00026, GA-3 ,STN-05  ,08/11/2025 10:59:50,456-DEF,53.3,100.6 C,None,J CEJMN 9LPJSXHT S34,sup-11, WO-2025276 ,t-105,Camera,,5.39,34.5 PSI,No,117
EVT-00027,GA-3,STN-01,11/05/2025 17:32:40,202-MNO,54.1,190.9F,None,5NUH8FHG8YX2VP0P6,SUP-02,WO-2025250,T-101,Manual,S2,3.12 kWh,53.6,No,113
EVT-00028,  GA-1, STN-09 ,12/10/2025 12:35:04,202-MNO,39.0,186.3F,None,Y9x 2SYU S97KYH6 SYc,Sup-09,WO-2025136, T-109 ,Camera,S4,2.13,46.8 PSI,No,121
EVT-00029,GA-3  ,  STN-09,23-10-2025 19:12:11,123-abc,44.5,83.9C,na,S9DPV E MFL7CAPXY RK,Sup-02,WO-2025199,T-109, SENSOR ,,2.65,53.4 psi,No,119
EVT-00030,GA-1,STN-07,2025-05-11 13:05:22,202-MNO,42.6,184.5F,OK,YAPTRM6SFFUYX72S4,Sup-11,WO-2025002,T-107,probe,,3.15 kWh,46.7 psi,No,122
EVT-00031,GA-3  ,  STN-05,21/03/2025 12:56:07,101-JKL,45.8,95.2 C,Repair,718VLzDT t6B18W zDX,SUP-02,WO-2025074,T105, vision ,S3,5.56 kWh,21.0,No,118
EVT-00032,  GA-3, STN-07 ,2025-06-10 11:70,789-GHI,49.9,98.7 C,na,BY0GK7U 5BFYPFX8YE,SUP-02,WO-2025120,T-107,probe,S2,3.61,41.2 PSI,No,114
EVT-00033,GA-2,STN-05,2025-11-01 10:22:30,101-JKL,88.0,256.1F,None,6HB3TUW4CHFUM574H,SUP-09,WO-2025242,T-105, SENSOR ,S1,5.24 kWh,39.9 PSI,No,106
EVT-00034,  GA-3,STN-05  ,03-12-2025 20:99:56,789 GHI,62.0,192.7F,None,T0PSK64 MFJ78J R4GU,sup-01,wo-2025071,T-105,probe,,4.45 kWh,43.6,No,118
EVT-00035, GA-2 ,STN-07  ,20/07/2025 10:08:27,456-DEF,38.9,193.8F,None,A1rY99DbK4eRBP1 27,sup-05,WO-2025082,T-107,camera,,3.46 kWh,32.7 PSI,No,108
EVT-00036,GA-3  ,STN-02  ,14/10/2025 10:95:10,101 JKL,43.5,208.8F,None,F4F86C2FT5ZE45VD3,SUP-02,WO-2025151,T-102, SENSOR ,S4,2.35 kWh,50.2,No,118
EVT-00037,GA-3,STN-03,2025/09/24 10:29:58,303-PQR,75.4,94.9 C,OK,S4FHVRSKRMN8YC619,Sup-01,WO-2025093,T-103,CAMERA,,3.36,51.3,No,120
EVT-00038, GA-2 ,STN-03,02/08/2025 12:31:38,101-jkl,47.0,84.0 C,None,LF55U TNJ62TSTZ2EZ,Sup-02,WO-2025147,T-103,manual,S1,3.5,34.0,No,108
EVT-00039,GA-2  ,STN-05  ,2025-06-25 14:59,202-MNO,50.6,128.0 C,None,0 M4H Y5ZCTHZS NTM32,sup-05,WO-2025040,T105,Camera,S3,3.8 kWh,53.2,No,112
EVT-00040, GA-3 ,STN-01  ,17/01/2025 08:16:18,202-MNO,43.8 Nm,82.8C, None,VL 07 XKKM Z6VG6GJ99,Sup-02,WO-2025186,T-101, MANUAL ,,2.77,37.3 PSI,No,111
EVT-00041, GA-1 ,STN-09,05/07/2025 14:25:52,202-MNO,50.8 Nm,181.8F,Reject,yRKx Rg5K3 Z77079WX,SUP-02,WO-2025022,T109, MANUAL ,S3,2.75 kWh,68.1,No,122
EVT-00042,GA-3  ,  STN-03,07/07/2025 07:25:05,456-DEF,51.4 Nm,96.6 C,None,6TX1ZK83GU FCG ZB7 U,SUP-05,WO-2025175,T-103,manual,S2,3.16 kWh,44.1 PSI,No,116
EVT-00043,  GA-3,  STN-01,16/03/2025 05:46:18,123-ABC,45.9,101.4 C,Repair,NFRPHPABDD 5TB8MG B,Sup-11,WO-2025190,T-101, MANUAL ,S4,2.16 kWh,51.9 psi,YES,117
EVT-00044,GA-2,STN-07,2025-01-20 19:53:42,123-ABC,60.3,200.7F,None,GL197F0SLFS9A0GDS,SUP-09,WO-2025045,T-107, vision ,S3,2.67 kWh,52.7 PSI,No,115
EVT-00045, GA-1 ,STN-07,2025/04/04 06:13:12,303-PQR,47.8,206.4F,Repair,795W3KSA7Y 0WZ 84P6,Sup-01,WO-2025266,t-107,CAMERA,S1,3.38 kWh,44.0 PSI,No,122
EVT-00046, GA-2 , STN-02 ,2025-05-24 10:49:29,303PQR,42.7,214.3F,OK,9LX EYV FMTJBX9ZW MY,Sup-01,wo-2025299,T-102,Camera,S1,2.77,49.2 PSI,No,111
EVT-00047, GA-1 ,STN-07,17-07-2025 15:36:49,202 MNO,51.5,91.6C,None,MZXF5SDZ LX4STXG4P,SUP-05,WO-2025129,t-107,CAMERA,S4,3.45 kWh,42.4,No,120
EVT-00048,GA-2,STN-09,02-22-2025 14:16:46,303PQR,54.6,91.2C,None,PH9 TDBDX3PCN9U95A,sup-11,WO-2025000,T-109,Sensor,S1,1.98 kWh,52.5 psi,No,108
EVT-00049,GA-1,STN-05,17-06-2025 12:09:11,202-MNO,56.9,100.0 C,None,ARGH43P4G1HDDPBB5,SUP-05,WO-2025234,T-105,camera,S1,4.54,44.1 psi,No,123
EVT-00050, GA-2 ,STN-01,16-01-2025 18:43:30,456-DEF,49.7,191.3F,OK,L16AJT6EU4C B03DL E,SUP-01,WO-2025263,t-101, MANUAL ,,2.17,43.3 psi,No,110
EVT-00051,GA-2  ,  STN-02,05-09-2025 18:08:00,789-ghi,47.0,97.0 C,None,8L5KBUT6GTC3GLD3U,Sup-05,WO-2025279, T-102 ,Manual,S2,2.98,32.1 psi,No,106
EVT-00052,  GA-1,STN-02,2025-07-18 06:10:45,202 MNO,58.7,119.0C,Repair,6XFUM17ZMBNBPT8AA,Sup-05,wo-2025073,T102,Camera,,3.73,49.7 psi,No,117
EVT-00053,GA-1,STN-05,18/05/2025 18:21:41,123-ABC,51.1,80.7 C,None,C2Z HY79R BSUF7C3S S,SUP-09,WO-2025080,T-105,Manual,S4,3.83 kWh,40.1 psi,No,121
EVT-00054, GA-1 ,STN-09,05/07/2025 14:25:52,202-MNO,50.8 Nm,181.8F,Reject,yRKx Rg5K3 Z77079WX,SUP-02,WO-2025022,T109, MANUAL ,S3,2.75 kWh,68.1,No,122
EVT-00055,GA-2  ,  STN-09,24-10-2025 17:00:31,123-abc,51.5,85.0C,None,L VSAAJ84SY6 PTZJDK,SUP-11,WO-2025025,T-109,operator,S1,2.24 kWh,32.8 psi,No,109
EVT-00056, GA-3 , STN-02 ,03-21-2025 12:99:57,101-JKL,48.2,90.0C,na,718VLZD TT 6 B18WZDX,sup-02,WO-2025074,T-102,CAMERA,S1,3.69 kWh,33.4 psi,No,112
EVT-00057,  GA-2,  STN-09,2025-10-21 10:24,202-mno,55.9 Nm,183.6F,OK,8EEFDz51W CAJG101D,sup-01,WO-2025255, T-109 , vision ,,2.18,43.6 psi,No,112
EVT-00058, GA-2 ,  STN-07,2025-08-14 17:34:42,101-jkl,49.3 Nm,84.1 C,Repair,TB7 Y6UXU89CUGK8RD,Sup-02,WO-2025132,T-107, MANUAL ,S2,2.92,43.6,No,111
EVT-00059, GA-3 ,STN-01  ,2025-11-04 20:26,303PQR,56.0 Nm,94.7 C,OK,6tUnX8 EY6 XASR W3YN,sup-11,WO-2025125, T-101 ,Manual,,2.14 kWh,50.1 PSI,No,115
EVT-00060, GA-3 ,STN-09  ,10-12-2025 16:15:16,123ABC,48.4,198.1F,None,13L4J0XZJY7BTSBA J,SUP-01,WO 2025090,T-109,operator,,2.94,41.3 PSI,no,120
EVT-00061, GA-1 ,STN-05  ,2025-08-25 16:99,456 DEF,63.5,198.3F,None,T0VXS EER5NZ 1LH8AT,Sup-01,wo-2025205,t-105, SENSOR ,,4.39,33.0 PSI,No,123
EVT-00062,GA-1,STN-01,05-08-2025 10:40:31,789-GHI,58.0,89.5 C,None,YN9VYEJNJD5ULPC8D,SUP-02,WO-2025061,T-101, SENSOR ,S3,3.15 kWh,38.0 psi,No,125
EVT-00063,GA-3,STN-05,2025-06-24 08:03:35,202-MNO,45.8,98.4C,None,EZP4GZB2GVWJ3ZAXH,sup-05,WO-2025290,T-105,sensor,S2,5.47 kWh,18.1 PSI,No,118
EVT-00064,GA-1,STN-03,04-12-2025 16:28:25,789-GHI,47.4,206.6F,OK,3F08C3870E1A79NMZ,SUP-01,WO-2025150,T-103,CAMERA,S3,3.18,36.5 psi,No,119
EVT-00065,GA-3,STN-02  ,11-11-2025 06:57:54,202 MNO,52.9,87.8C, None,K94TH XG1YFJM4RZP 4,sup-11,WO-2025148,T-102,camera,S4,3.11 kWh,47.6,No,110
EVT-00066,GA-3,STN-01,2025-08-07 15:36,456-DEF,49.9,85.2 C,Reject,GVG81JX0GPWS2WNR6,SUP-02,WO-2025235,T-101,Sensor,S4,2.4 kWh,49.7,No,119
EVT-00067,GA-3  ,STN-02  ,15/09/2025 07:22:02,101-jkl,41.4,95.4C,None,2ZFT0 f7334 4 NLY4FS,SUP-05,WO-2025116,T-102,manual,S3,3.38,36.3 PSI,No,116
EVT-00068,GA-1,STN-03,10-09-2025 18:36:04,789-GHI,44.9 Nm,98.6C,Repair,UF1RU6VTPVXEHAJHJ,sup-05,WO-2025123,T-103,Camera,S3,4.21,39.1,N,118
EVT-00069,GA-3,STN-09,2025-03-21 13:05,101-JKL,38.9,201.9F,None,718VLZDTT6B18WZDX,sup-02,WO-2025074,T-109, MANUAL ,,2.25,32.6 PSI,No,119
EVT-00070,GA-3,  STN-03,02/06/2025 05:44:09,789GHI,48.7,93.2C,OK,TE0TDZ YZ VS5TNT9XM,sup-02,WO-2025026,t-103,Manual,S4,4.29 kWh,53.8 PSI,No,110
EVT-00071,GA-2  , STN-05 ,2025-08-24 08:21,123 ABC,60.2,84.5C,OK,Y8S4M V61CU9SB 63K7,SUP-05,WO-2025124,t-105,sensor,S1,5.8 kWh,44.7 psi,No,105
EVT-00072, GA-3 ,STN-07,12-03-2025 20:55:07,789-GHI,47.4,99.5 C,None,t0PSK 64MFJ78JR4GU,Sup-01, WO-2025071 ,T-107,operator,S1,3.13,35.0 PSI,No,112
EVT-00073,GA-1  , STN-02 ,2025/02/25 10:27:48,101-JKL,48.3,86.2C,None,ZDNGRP5 6B ZJP7C6R W,Sup-05,wo-2025226,T-102, vision ,,2.33,39.1 PSI,No,122
EVT-00074,  GA-2,  STN-01,09-18-2025 06:33:06,123ABC,58.7,93.8C,None,5fBT 5XWU4F3E3g Zcp,SUP-11,wo-2025056,T-101,sensor,,2.38,39.9 PSI,N,109
EVT-00075,GA-1,  STN-01,11-07-2025 17:34:36,789-GHI,38.7,198.5F,None,8D3 PDKXD GT DPUP6PS,sup-05,WO-2025104,T-101,Sensor,S1,3.4 kWh,36.9 psi,No,115
EVT-00076,GA-2  ,STN-01,2025/02/02 16:35:14,101-jkl,57.4,198.9F,None,VRWK8T6DDKDENU3DT,SUP-02,wo-2025262,T-101, SENSOR ,S1,2.51,44.1 PSI,No,108
EVT-00077,  GA-3,STN-09  ,07-07-2025 07:38:54,456-def,57.7,88.5C,Reject,6TX1ZK83GU FCGzB7u,Sup-05,WO-2025175,T109,Sensor,s2,2.91,45.7 psi,Yes,115
EVT-00078,GA-1  ,  STN-05,06-02-2025 12:28:26,123 ABC,38.2,88.1C,na,M2 THBCC2ZG1PCNS9A,Sup-02,wo-2025287,T-105,Sensor,,3.9,51.9 PSI,No,119
EVT-00079, GA-2 , STN-09 ,01-16-2025 19:15:06,456DEF,60.5,80.9 C,None,L16AJT6EU4CB03DLE,SUP-01,WO-2025263,T-109,operator,S2,3.08,49.6 psi,No,111
EVT-00080,  GA-1,  STN-03,06/07/2025 11:04:17,456-DEF,62.7 Nm,177.1F,None,RaJd61w S2S 6ZhAB F1,SUP-09,WO-2025278,T-103,CAMERA,S2,3.82 kWh,51.4 psi,No,124
EVT-00081,GA-1  ,STN-07,17-11-2025 07:51:16,303PQR,55.1,83.7 C,None,PUVy6 J2ZFTLSZP8  91,sup-01,WO-2025193,T-107, vision ,,2.89 kWh,46.7 PSI,No,122
EVT-00082,  GA-1,STN-01,2025/05/16 07:27:38,202MNO,51.9,213.4F,None,BLPG0 NR4H6 S8TP5 XH,sup-09,WO-2025057,T-101, MANUAL ,,3.03 kWh,44.2 psi,No,124
EVT-00083,GA-3  ,STN-03  ,06-08-2025 13:27:40,789-GHI,38.1,119.0 C,None,T 2DYK NYW 6Z6J0UTGY,SUP-05,WO-2025102,T-103, MANUAL ,,3.42,42.2 PSI,No,120
EVT-00084,GA-2, STN-05 ,2025-02-07 13:99,303-PQR,50.2 Nm,82.5 C,None,BUJrKB4PrDBrFMM 6G,Sup-05,WO-2025174,T105, MANUAL ,S1,4.79,38.9 PSI,No,110
EVT-00085,  GA-2, STN-05 ,2025-09-18 09:17,789-GHI,38.9,186.6F,None,e2ZbM 0rTCURn8Z954,SUP-05,WO-2025089,T-105,Camera,,3.79 kWh,52.6 PSI,No,111
EVT-00086,GA-1  ,STN-09  ,2025/04/07 15:14:39,303-PQR,52.6,79.3C,None,BPBy3Y13B N 1j97 DTs,Sup-02,wo-2025194,T-109, MANUAL ,,2.38 kWh,50.9,No,115
EVT-00087, GA-3 ,  STN-05,20-03-2025 17:42:53,101-JKL,60.8,186.4F,None,TVSD86 DWDWZ MUGTHV,Sup-01,WO-2025207,T-105,camera,,4.73 kWh,36.4 psi,No,116
EVT-00088,  GA-2,  STN-01,2025-03-01 17:12,303PQR,60.7 Nm,92.2C,None,7LP7DFJCP1VLZ2YGR,sup-09, WO-2025027 ,T101,Sensor,,3.42,53.4 psi,No,107
EVT-00089,GA-3,STN-01  ,2025/06/02 05:37:02,789GHI,39.5,85.5 C,None,TE0TDZYZVS5TNT9XM,SUP-02,WO-2025026,t-101, MANUAL ,,2.69 kWh,51.8 PSI,no,119
EVT-00090,GA-3,  STN-01,06-10-2025 10:52:36,789GHI,52.0,185.2F,na,BY0G K7U5BFYPFX8 YE,SUP-02,WO-2025120,T-101,manual,,2.64 kWh,39.4 psi,No,115
EVT-00091,GA-3  ,STN-02,17/12/2025 05:02:51,202-MNO,59.8,87.8 C,OK,TEY9BPBCC12T89D85,sup-02,WO-2025063,T-102,Sensor,,2.58 kWh,41.2 psi,No,110
