Event_ID,Line,Station,TS,Part_No,Part_Description,BOM_Valid,Torque_Nm,Temp_C,Pressure,Defect,VIN,Supplier,Supplier_Name,Supplier_Country,Work_Order,Work_Order_VIN_Valid,Tool_ID,Tool_Description,Tool_Valid,Inspection_Source,Scrap_Reason,Scrap_Reason_Description,Energy_kWh,Warranty_Claim,Plan_Production,Shift,Sensor_Anomaly,Cycle_Time_Seconds,Cycle_Time_Minutes,Cycle_Time_Valid,Cycle_Time_Anomaly,Rework,Cleaning_Issues
EVT-00001,GA-2,STN-01,2025-08-14 17:15:00,101-JKL,Battery Cooling Harness,True,21.11,96.4,50.7,None,TB7Y6UXU89CUGK8RD,SUP-02,Precision Motion Works,Germany,WO-2025132,True,T-101,Fixture Clamp,True,camera,,,3.09,No,113,B,True,,,True,False,False,
EVT-00002,GA-3,STN-05,2025-09-15 07:42:48,101-JKL,Battery Cooling Harness,True,54.77,90.0,35.7,None,2ZFT0F73344NLY4FS,SUP-05,Prime Casting Solutions,Japan,WO-2025116,True,T-105,Press Tool,True,sensor,S4,Sensor Fault,5.01,No,119,A,False,367.0,6.12,True,False,True,
EVT-00003,GA-3,STN-02,2025-12-19 14:18:10,123-ABC,Front Axle Assembly,True,43.96,88.5,40.1,None,84305FE1F56V2UL03,SUP-05,Prime Casting Solutions,Japan,WO-2025162,True,T-102,Torque Gun,True,sensor,S2,Torque Failure,2.63,No,110,B,False,273.0,4.55,True,False,False,
EVT-00004,GA-2,STN-03,2025-02-07 13:50:02,303-PQR,Door Lock Module,True,45.29,95.4,51.4,None,BUJRKB4PRDBRFMM6G,SUP-05,Prime Casting Solutions,Japan,WO-2025174,True,T-103,Vision Alignment Rig,True,manual,S3,Assembly Error,2.83,No,114,A,False,49.0,0.82,True,False,True,
EVT-00005,GA-1,STN-09,2025-04-16 15:39:32,123-ABC,Front Axle Assembly,True,63.65,82.39,47.6,None,BDX57FKRT1DYME5RP,SUP-11,Vector Drive Components,USA,WO-2025029,True,T-109,End-of-Line Scanner,True,sensor,S3,Assembly Error,2.19,No,119,B,False,92.0,1.53,True,False,False,
EVT-00006,GA-1,STN-01,2025-02-02 14:53:53,789-GHI,Steering Rack,True,63.85,81.0,37.3,None,XKB08A16Z6MHGA80P,SUP-01,Atlas Fasteners,India,WO-2025173,True,T-101,Fixture Clamp,True,manual,,,2.85,No,118,B,False,,,True,False,False,
EVT-00007,GA-3,STN-09,2025-12-11 15:20:20,456-DEF,Rear Suspension Module,True,49.47,84.9,47.4,None,6XM2YTR5JDXA787VA,SUP-09,Nova Sensor Systems,South Korea,WO-2025095,True,T-109,End-of-Line Scanner,True,sensor,S3,Assembly Error,2.13,No,112,B,False,230.0,3.83,True,False,False,
EVT-00008,GA-1,STN-02,2025-03-10 13:47:58,456-DEF,Rear Suspension Module,True,55.9,85.4,45.2,None,S58LZ8511LNKKVP4K,SUP-05,Prime Casting Solutions,Japan,WO-2025046,True,T-102,Torque Gun,True,sensor,S1,Material Defect,3.53,No,119,A,False,238.0,3.97,True,False,False,
EVT-00009,GA-3,STN-09,2025-07-11 05:59:27,202-MNO,Brake Cylinder,True,56.51,111.28,48.2,None,AE9CVW2FHCV5MP7GD,SUP-02,Precision Motion Works,Germany,WO-2025240,True,T-109,End-of-Line Scanner,True,sensor,,,2.02,No,118,C,True,82.0,1.37,True,False,False,
EVT-00010,GA-3,STN-02,2025-12-08 05:56:23,101-JKL,Battery Cooling Harness,True,38.76,94.3,40.6,None,57W67GTEXMTS5F866,SUP-11,Vector Drive Components,USA,WO-2025256,True,T-102,Torque Gun,True,camera,S2,Torque Failure,2.66,No,113,C,False,10195326.0,169922.1,False,True,False,invalid_cycle_time
EVT-00011,GA-3,STN-07,2025-11-16 15:23:16,303-PQR,Door Lock Module,True,39.78,84.2,43.7,None,533ATBBT7DKH5BBKW,SUP-09,Nova Sensor Systems,South Korea,WO-2025140,True,T-107,Seal Applicator,True,sensor,S3,Assembly Error,2.43,No,115,B,False,185.0,3.08,True,False,False,
EVT-00012,GA-3,STN-07,2025-10-04 16:53:00,123-ABC,Front Axle Assembly,True,55.18,95.6,35.6,None,RSB5SBWNRZ2AJKPRK,SUP-09,Nova Sensor Systems,South Korea,WO-2025047,True,T-107,Seal Applicator,True,manual,S2,Torque Failure,3.22,No,113,B,False,1.0,0.02,False,True,True,invalid_cycle_time
EVT-00013,GA-2,STN-05,2025-11-02 10:17:51,303-PQR,Door Lock Module,True,42.84,83.2,46.5,None,6X62JY3L1BN00JWUH,SUP-05,Prime Casting Solutions,Japan,WO-2025155,True,T-105,Press Tool,True,manual,S4,Sensor Fault,4.72,No,112,A,False,246.0,4.1,True,False,False,
EVT-00014,GA-2,STN-05,2025-10-21 10:23:00,202-MNO,Brake Cylinder,True,54.98,89.61,36.9,Reject,8EEFDZ51WCAJG101D,SUP-01,Atlas Fasteners,India,WO-2025255,True,T-105,Press Tool,True,manual,S2,Torque Failure,4.73,No,108,A,False,317.0,5.28,True,False,True,
EVT-00015,GA-2,STN-01,2025-11-10 20:34:53,202-MNO,Brake Cylinder,True,27.64,90.61,32.4,Reject,FBNGZ6XMCX1EG0WTC,SUP-02,Precision Motion Works,Germany,WO-2025023,True,T-101,Fixture Clamp,True,sensor,S1,Material Defect,2.06,Yes,107,B,True,2590735.0,43178.92,False,True,True,invalid_cycle_time
EVT-00016,GA-3,STN-03,2025-11-16 15:06:41,303-PQR,Door Lock Module,True,38.96,98.11,47.8,None,533ATBBT7DKH5BBKW,SUP-09,Nova Sensor Systems,South Korea,WO-2025140,True,T-103,Vision Alignment Rig,True,sensor,S4,Sensor Fault,4.27,No,114,B,False,281.0,4.68,True,False,False,
EVT-00017,GA-1,STN-09,2025-03-24 07:52:54,202-MNO,Brake Cylinder,True,53.65,96.2,44.8,None,2NEYFHMZCN5N2URDJ,SUP-05,Prime Casting Solutions,Japan,WO-2025065,True,T-109,End-of-Line Scanner,True,camera,S1,Material Defect,1.88,No,122,A,False,190.0,3.17,True,False,False,
EVT-00018,GA-2,STN-05,2025-11-17 04:23:26,123-ABC,Front Axle Assembly,True,50.49,92.89,38.4,Repair,PUHV53AYU0B8WHPYA,SUP-09,Nova Sensor Systems,South Korea,WO-ERR-0010,True,TL-1,,False,manual,S3,Assembly Error,4.38,No,110,C,False,,,True,False,False,invalid_tool_id
EVT-00019,GA-3,STN-03,2025-05-12 11:12:47,789-GHI,Steering Rack,True,55.18,93.6,68.3,Reject,YK9G33UN6SACUU5MZ,SUP-01,Atlas Fasteners,India,WO-2025229,True,T-103,Vision Alignment Rig,True,sensor,S1,Material Defect,2.86,No,113,A,True,183.0,3.05,True,False,False,
EVT-00020,GA-1,STN-01,2025-08-17 06:39:37,456-DEF,Rear Suspension Module,True,39.58,91.5,42.3,None,NZ3J6X91DXTN4VHZY,SUP-11,Vector Drive Components,USA,WO-2025224,True,T-101,Fixture Clamp,True,sensor,S2,Torque Failure,3.13,No,123,A,False,,,True,False,False,
EVT-00021,GA-1,STN-03,2025-12-09 09:59:04,303-PQR,Door Lock Module,True,57.22,88.8,53.1,None,99E77LV8DL6026PPR,SUP-09,Nova Sensor Systems,South Korea,WO-2025020,True,T-103,Vision Alignment Rig,True,camera,,,3.93,No,119,A,False,195.0,3.25,True,False,False,
EVT-00022,GA-3,STN-01,2025-08-02 20:49:56,456-DEF,Rear Suspension Module,True,45.7,99.4,37.8,None,K5UMB1RG88YWL1HKP,SUP-09,Nova Sensor Systems,South Korea,WO-ERR-0013,True,TL-1,,False,sensor,S2,Torque Failure,2.59,No,115,B,False,,,True,False,False,invalid_tool_id
EVT-00023,GA-3,STN-05,2025-10-12 07:39:51,456-DEF,Rear Suspension Module,True,59.67,86.0,36.5,Repair,T2VS0FB8Y7JMTE3V7,SUP-05,Prime Casting Solutions,Japan,WO-2025108,True,T-105,Press Tool,True,camera,S2,Torque Failure,5.61,No,111,A,False,801.0,13.35,False,True,True,invalid_cycle_time
EVT-00024,GA-1,STN-05,2025-07-19 12:33:51,456-DEF,Rear Suspension Module,True,55.59,68.1,33.4,None,8YLWKXKNRPVMV5ZGP,SUP-02,Precision Motion Works,Germany,WO-2025273,True,T105,,False,camera,S4,Sensor Fault,4.0,No,118,A,True,25.0,0.42,True,False,True,invalid_tool_id
