Supplier_Code,Supplier_Name,Country,Part_No,Part_Description,VIN,Work_Order,Warranty_Claim,Defect,Scrap_Reason
SUP-02,Precision Motion Works,Germany,101-JKL,Battery Cooling Harness,TB7Y6UXU89CUGK8RD,WO-2025132,No,None,
SUP-05,Prime Casting Solutions,Japan,101-JKL,Battery Cooling Harness,2ZFT0F73344NLY4FS,WO-2025116,No,None,Sensor Fault
SUP-05,Prime Casting Solutions,Japan,123-ABC,Front Axle Assembly,84305FE1F56V2UL03,WO-2025162,No,None,Torque Failure
SUP-05,Prime Casting Solutions,Japan,303-PQR,Door Lock Module,BUJRKB4PRDBRFMM6G,WO-2025174,No,None,Assembly Error
SUP-11,Vector Drive Components,USA,123-ABC,Front Axle Assembly,BDX57FKRT1DYME5RP,WO-2025029,No,None,Assembly Error
SUP-01,Atlas Fasteners,India,789-GHI,Steering Rack,XKB08A16Z6MHGA80P,WO-2025173,No,None,
SUP-09,Nova Sensor Systems,South Korea,456-DEF,Rear Suspension Module,6XM2YTR5JDXA787VA,WO-2025095,No,None,Assembly Error
SUP-05,Prime Casting Solutions,Japan,456-DEF,Rear Suspension Module,S58LZ8511LNKKVP4K,WO-2025046,No,None,Material Defect
SUP-02,Precision Motion Works,Germany,202-MNO,Brake Cylinder,AE9CVW2FHCV5MP7GD,WO-2025240,No,None,
SUP-11,Vector Drive Components,USA,101-JKL,Battery Cooling Harness,57W67GTEXMTS5F866,WO-2025256,No,None,Torque Failure
SUP-09,Nova Sensor Systems,South Korea,303-PQR,Door Lock Module,533ATBBT7DKH5BBKW,WO-2025140,No,None,Assembly Error
SUP-09,Nova Sensor Systems,South Korea,123-ABC,Front Axle Assembly,RSB5SBWNRZ2AJKPRK,WO-2025047,No,None,Torque Failure
SUP-05,Prime Casting Solutions,Japan,303-PQR,Door Lock Module,6X62JY3L1BN00JWUH,WO-2025155,No,None,Sensor Fault
SUP-01,Atlas Fasteners,India,202-MNO,Brake Cylinder,8EEFDZ51WCAJG101D,WO-2025255,No,Reject,Torque Failure
SUP-02,Precision Motion Works,Germany,202-MNO,Brake Cylinder,FBNGZ6XMCX1EG0WTC,WO-2025023,Yes,Reject,Material Defect
SUP-09,Nova Sensor Systems,South Korea,303-PQR,Door Lock Module,533ATBBT7DKH5BBKW,WO-2025140,No,None,Sensor Fault
SUP-05,Prime Casting Solutions,Japan,202-MNO,Brake Cylinder,2NEYFHMZCN5N2URDJ,WO-2025065,No,None,Material Defect
SUP-09,Nova Sensor Systems,South Korea,123-ABC,Front Axle Assembly,PUHV53AYU0B8WHPYA,WO-ERR-0010,No,Repair,Assembly Error
SUP-01,Atlas Fasteners,India,789-GHI,Steering Rack,YK9G33UN6SACUU5MZ,WO-2025229,No,Reject,Material Defect
SUP-11,Vector Drive Components,USA,456-DEF,Rear Suspension Module,NZ3J6X91DXTN4VHZY,WO-2025224,No,None,Torque Failure
SUP-09,Nova Sensor Systems,South Korea,303-PQR,Door Lock Module,99E77LV8DL6026PPR,WO-2025020,No,None,
SUP-09,Nova Sensor Systems,South Korea,456-DEF,Rear Suspension Module,K5UMB1RG88YWL1HKP,WO-ERR-0013,No,None,Torque Failure
